id;nome;pais
1;SOMOS26 00 — We Are 26;Somos 26
2;FWC 1;Copa 2026
3;FWC 2;Copa 2026
4;FWC 3;Copa 2026
5;FWC 4;Copa 2026
6;FWC 5;Bola e PaísesSede
7;FWC 6;Bola e PaísesSede
8;FWC 7;Bola e PaísesSede
9;FWC 8;Bola e PaísesSede
10;Escudo México;México
11;Luis Malagón;México
12;Johan Vásquez;México
13;Jorge Sánchez;México
14;César Montes;México
15;Jesús Gallardo;México
16;Israel Reyes;México
17;Diego Lainez;México
18;Carlos Rodríguez;México
19;Edson Álvarez;México
20;Orbelín Pineda;México
21;Marcel Ruiz;México
22;Foto do Time;México
23;Érick Sánchez;México
24;Hirving Lozano;México
25;Santiago Giménez;México
26;Raúl Jiménez;México
27;Alexis Vega;México
28;Roberto Alvarado;México
29;César Huerta;México
30;Escudo Coreia do Sul;Coreia do Sul
31;Hyeon-woo Jo;Coreia do Sul
32;Seung-Gyu Kim;Coreia do Sul
33;Min-jae Kim;Coreia do Sul
34;Yu-min Cho;Coreia do Sul
35;Young-woo Seol;Coreia do Sul
36;Han-beom Lee;Coreia do Sul
37;Tae-seok Lee;Coreia do Sul
38;Myung-jae Lee;Coreia do Sul
39;Jae-sung Lee;Coreia do Sul
40;In-beom Hwang;Coreia do Sul
41;Kang-in Lee;Coreia do Sul
42;Foto do Time;Coreia do Sul
43;Seung-ho Paik;Coreia do Sul
44;Jens Castrop;Coreia do Sul
45;Dong-gyeong Lee;Coreia do Sul
46;Gue-sung Cho;Coreia do Sul
47;Heung-min Son;Coreia do Sul
48;Hee-chan Hwang;Coreia do Sul
49;Hyeon-Gyu Oh;Coreia do Sul
50;Escudo Rep. Tcheca;Rep Tcheca
51;Matěj Kovář;Rep Tcheca
52;Jindřich Staněk;Rep Tcheca
53;Ladislav Krejčí;Rep Tcheca
54;Vladimír Coufal;Rep Tcheca
55;Jaroslav Zelený;Rep Tcheca
56;Tomáš Holeš;Rep Tcheca
57;David Zima;Rep Tcheca
58;Michal Sadílek;Rep Tcheca
59;Lukáš Provod;Rep Tcheca
60;Lukáš Červ;Rep Tcheca
61;Tomáš Souček;Rep Tcheca
62;Foto do Time;Rep Tcheca
63;Pavel Šulc;Rep Tcheca
64;Matěj Vydra;Rep Tcheca
65;Vasil Kušej;Rep Tcheca
66;Tomáš Chorý;Rep Tcheca
67;Václav Černý;Rep Tcheca
68;Adam Hložek;Rep Tcheca
69;Patrik Schick;Rep Tcheca
70;Escudo África do Sul;África do Sul
71;Ronwen Williams;África do Sul
72;Sipho Chaine;África do Sul
73;Aubrey Modiba;África do Sul
74;Samukele Kabini;África do Sul
75;Mbekezeli Mbokazi;África do Sul
76;Khulumani Ndamane;África do Sul
77;Siyabonga Ngezana;África do Sul
78;Khuliso Mudau;África do Sul
79;Nkosinathi Sibisi;África do Sul
80;Teboho Mokoena;África do Sul
81;Thalente Mbatha;África do Sul
82;Foto do Time;África do Sul
83;Bathuisi Aubaas;África do Sul
84;Yaya Sithole;África do Sul
85;Sipho Mbule;África do Sul
86;Lyle Foster;África do Sul
87;Ioraam Rayners;África do Sul
88;Mohau Nkota;África do Sul
89;Oswin Appolis;África do Sul
90;Escudo Canadá;Canadá
91;Dayne St. Clair;Canadá
92;Alphonso Davies;Canadá
93;Alistair Johnston;Canadá
94;Samuel Adekugbe;Canadá
95;Richie Laryea;Canadá
96;Derek Cornelius;Canadá
97;Moïse Bombito;Canadá
98;Kamal Miller;Canadá
99;Stephen Eustáquio;Canadá
100;Ismaël Koné;Canadá
101;Jonathan Osorio;Canadá
102;Foto do Time;Canadá
103;Jacob Shaffelburg;Canadá
104;Mathieu Choinière;Canadá
105;Niko Sigur;Canadá
106;Tajon Buchanan;Canadá
107;Liam Millar;Canadá
108;Cyle Larin;Canadá
109;Jonathan David;Canadá
110;Escudo Suíça;Suíça
111;Gregor Kobel;Suíça
112;Yvon Mvogo;Suíça
113;Manuel Akanji;Suíça
114;Ricardo Rodriguez;Suíça
115;Nico Elvedi;Suíça
116;Aurèle Amenda;Suíça
117;Silvan Widmer;Suíça
118;Granit Xhaka;Suíça
119;Denis Zakaria;Suíça
120;Remo Freuler;Suíça
121;Fabian Rieder;Suíça
122;Foto do Time;Suíça
123;Ardon Jashari;Suíça
124;Johan Manzambi;Suíça
125;Michel Aebischer;Suíça
126;Breel Embolo;Suíça
127;Ruben Vargas;Suíça
128;Dan Ndoye;Suíça
129;Zeki Amdouni;Suíça
130;Escudo Catar;Catar
131;Meshaal Barsham;Catar
132;Sultan Albrake;Catar
133;Lucas Mendes;Catar
134;Homam Ahmed;Catar
135;Boualem Khoukhi;Catar
136;Pedro Miguel;Catar
137;Tarek Salman;Catar
138;Mohamed Al-Mannai;Catar
139;Karim Boudiaf;Catar
140;Assim Madibo;Catar
141;Ahmed Fatehi;Catar
142;Foto do Time;Catar
143;Mohammed Waad;Catar
144;Abdulaziz Hatem;Catar
145;Hassan Al-Haydos;Catar
146;Edmilson Junior;Catar
147;Akram Hassan Afif;Catar
148;Ahmed Al Ganehi;Catar
149;Almoez Ali;Catar
150;Escudo Bósnia e Herzegovina;Bósnia e Herzegovina
151;Nikola Vasilj;Bósnia e Herzegovina
152;Amar Dedić;Bósnia e Herzegovina
153;Sead Kolašinac;Bósnia e Herzegovina
154;Tarik Muharemović;Bósnia e Herzegovina
155;Nihad Mujakić;Bósnia e Herzegovina
156;Nikola Katić;Bósnia e Herzegovina
157;Amir Hadžiahmetović;Bósnia e Herzegovina
158;Benjamin Tahirović;Bósnia e Herzegovina
159;Armin Gigović;Bósnia e Herzegovina
160;Ivan Šunjić;Bósnia e Herzegovina
161;Ivan Bašić;Bósnia e Herzegovina
162;Foto do Time;Bósnia e Herzegovina
163;Dženis Burnić;Bósnia e Herzegovina
164;Esmir Bajraktarević;Bósnia e Herzegovina
165;Amar Memić;Bósnia e Herzegovina
166;Ermedin Demirović;Bósnia e Herzegovina
167;Edin Džeko;Bósnia e Herzegovina
168;Samed Baždar;Bósnia e Herzegovina
169;Haris Tabaković;Bósnia e Herzegovina
170;Escudo Brasil;Brasil
171;Alisson;Brasil
172;Bento;Brasil
173;Marquinhos;Brasil
174;Éder Militão;Brasil
175;Gabriel Magalhães;Brasil
176;Danilo;Brasil
177;Wesley;Brasil
178;Casemiro;Brasil
179;Lucas Paquetá;Brasil
180;Bruno Guimarães;Brasil
181;Luiz Henrique;Brasil
182;Foto do Time;Brasil
183;Vinícius Jr.;Brasil
184;Rodrygo;Brasil
185;Raphinha;Brasil
186;Gabriel Martinelli;Brasil
187;Matheus Cunha;Brasil
188;João Pedro;Brasil
189;Estêvão;Brasil
190;Escudo Marrocos;Marrocos
191;Yassine Bounou;Marrocos
192;Munir El Kajoui;Marrocos
193;Achraf Hakimi;Marrocos
194;Noussair Mazraoui;Marrocos
195;Nayef Aguerd;Marrocos
196;Romain Saïss;Marrocos
197;Jawad El Yamiq;Marrocos
198;Adam Masina;Marrocos
199;Sofyan Amrabat;Marrocos
200;Azzedine Ounahi;Marrocos
201;Eliesse Ben Seghir;Marrocos
202;Foto do Time;Marrocos
203;Bilal El Khannouss;Marrocos
204;Ismael Saibari;Marrocos
205;Youssef En-Nesyri;Marrocos
206;Abde Ezzalzouli;Marrocos
207;Soufiane Rahimi;Marrocos
208;Brahim Díaz;Marrocos
209;Ayoub El Kaabi;Marrocos
210;Escudo Escócia;Escócia
211;Angus Gunn;Escócia
212;Jack Hendry;Escócia
213;Kieran Tierney;Escócia
214;Aaron Hickey;Escócia
